timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
4.300;f_1.81;-64.71;0.00;12.97
4.300;f_1.82;43.29;0.00;12.97
4.300;f_1.83;137.28;0.00;12.97
4.300;f_1.80;-93.07;0.00;12.97
4.400;f_0.0;75.96;-0.04;9.49
4.400;f_1.81;-66.08;0.00;12.97
4.400;f_1.82;42.00;0.00;12.97
4.400;f_1.83;136.04;0.00;12.97
4.400;f_1.80;-94.16;0.00;12.97
4.500;f_0.0;76.11;-0.04;9.48
4.500;f_1.81;-67.43;0.00;12.97
4.500;f_1.82;40.70;0.00;12.97
4.500;f_1.83;134.80;0.00;12.97
4.500;f_1.80;-95.25;0.00;12.97
4.600;f_0.0;76.27;-0.04;9.48
4.600;f_1.81;-68.79;0.00;12.97
4.600;f_1.82;39.40;0.00;12.97
4.600;f_1.83;133.56;0.00;12.97
4.600;f_1.80;-96.33;0.00;12.97
4.700;f_0.0;76.42;-0.04;9.48
4.700;f_1.81;-70.12;0.00;12.97
4.700;f_1.82;38.11;0.00;12.97
4.700;f_1.83;132.32;0.00;12.97
4.700;f_1.80;-97.42;0.00;12.97
4.800;f_0.0;76.57;-0.04;9.48
4.800;f_1.81;-71.46;0.00;12.97
4.800;f_1.82;36.82;0.00;12.97
4.800;f_1.83;131.09;0.00;12.97
4.800;f_1.80;-98.50;0.00;12.97
4.800;f_1.84;184.30;0.00;12.97
4.900;f_0.0;76.73;-0.04;9.48
4.900;f_1.81;-72.79;0.00;12.97
4.900;f_1.82;35.53;0.00;12.97
4.900;f_1.83;129.85;0.00;12.97
4.900;f_1.84;184.28;0.00;12.97
5.000;f_0.0;76.88;-0.04;9.48
5.000;f_1.81;-74.14;0.00;12.97
5.000;f_1.82;34.23;0.00;12.97
5.000;f_1.83;128.62;0.00;12.97
5.000;f_1.84;184.23;0.00;12.97
5.100;f_0.0;77.03;-0.04;9.48
5.100;f_1.81;-75.52;0.00;12.97
5.100;f_1.82;32.93;0.00;12.97
