unity_time;FPS
57.200;122.76
57.300;123.92
57.400;121.78
57.500;122.45
57.600;120.64
57.700;120.90
57.800;120.27
57.900;119.04
58.000;119.98
58.100;117.05
58.200;117.89
58.300;120.34
58.400;119.41
58.500;116.10
58.600;119.01
58.700;116.16
58.800;119.73
58.900;113.32
59.000;118.90
59.100;120.45
59.200;121.67
59.300;120.66
59.400;119.28
59.500;119.22
59.600;121.03
59.700;120.95
59.800;117.38
59.900;117.24
60.000;117.43
60.100;119.54
60.200;120.28
60.300;117.35
60.400;117.64
60.500;116.82
60.600;119.22
60.700;119.60
60.800;118.26
60.900;114.40
61.000;119.41
61.100;119.18
61.200;125.26
61.300;122.52
61.400;118.01
61.500;118.21
61.600;120.87
61.700;121.27
61.800;122.13
61.900;116.21
62.000;115.08
62.100;118.36
62.200;119.11
62.300;118.84
62.400;119.01
62.500;121.49
62.600;120.82
62.700;118.18
62.800;116.42
62.900;118.04
63.000;116.78
63.100;115.17
63.200;119.69
63.300;119.40
63.400;118.77
63.500;114.06
63.600;115.71
63.700;121.15
63.800;120.51
63.900;122.58
64.000;121.02
64.100;119.86
64.200;117.54
64.300;115.90
64.400;117.80
64.500;123.01
64.600;121.40
64.700;120.56
64.800;116.22
64.900;116.35
65.000;120.30
65.100;119.08
65.200;120.43
65.300;118.80
65.400;120.80
65.500;123.29
65.600;119.10
65.700;120.21
65.800;119.87
65.900;120.92
66.000;122.50
66.100;121.38
66.200;120.68
66.300;121.27
66.400;120.06
66.500;116.30
66.600;109.66
66.700;105.16
66.800;116.84
66.900;119.40
67.000;117.25
67.100;120.22
67.200;114.76
67.300;118.08
67.400;118.60
67.500;120.78
67.600;123.63
67.700;105.64
67.800;115.95
67.900;113.74
68.000;118.30
68.100;118.98
68.200;120.56
68.300;112.59
68.400;119.73
68.500;116.92
68.600;119.34
68.700;119.73
68.800;122.10
68.900;120.95
69.000;117.69
69.100;116.03
69.200;119.52
69.300;120.55
69.400;116.91
69.500;119.04
69.600;119.16
69.700;115.88
69.800;113.60
69.900;117.29
70.000;116.95
70.100;115.48
70.200;115.38
70.300;119.62
70.400;120.19
70.500;124.76
70.600;120.51
70.700;107.82
70.800;116.97
70.900;117.79
71.000;119.41
71.100;116.25
71.200;119.17
71.300;120.95
71.400;119.37
71.500;116.11
71.600;117.50
71.700;120.05
71.800;117.62
71.900;117.83
72.000;117.83
72.100;119.53
72.200;120.08
72.300;120.54
72.400;117.82
72.500;117.02
72.600;119.52
72.700;120.09
72.800;120.77
72.900;120.48
73.000;114.25
73.100;118.14
73.200;119.46
73.300;101.28
73.400;107.48
73.500;117.99
73.600;119.28
73.700;122.97
73.800;121.52
73.900;122.57
74.000;125.33
74.100;125.29
74.200;119.59
74.300;121.41
74.400;121.85
74.500;119.99
74.600;122.73
74.700;118.24
74.800;123.38
74.900;119.76
75.000;119.93
75.100;119.77
75.200;125.12
75.300;123.98
75.400;120.73
75.500;122.05
75.600;119.83
75.700;122.42
75.800;121.87
75.900;122.11
76.000;117.57
76.100;119.94
76.200;122.32
76.300;121.52
76.400;120.71
76.500;121.64
76.600;117.78
76.700;114.68
76.800;114.26
76.900;118.96
77.000;113.45
77.100;112.82
77.200;117.97
77.300;113.77
77.400;113.31
77.500;119.25
77.600;121.22
77.700;123.32
77.800;120.79
77.900;115.19
78.000;117.49
78.100;124.43
78.200;123.43
78.300;122.54
78.400;124.77
78.500;121.64
78.600;121.81
78.700;120.63
78.800;118.89
78.900;121.65
79.000;118.29
79.100;119.13
79.200;123.19
79.300;120.74
79.400;120.70
79.500;120.60
79.600;120.64
79.700;121.16
79.800;110.82
79.900;117.83
80.000;119.75
80.100;119.27
80.200;117.07
80.300;115.11
80.400;118.77
80.500;120.28
80.600;117.21
80.700;118.32
80.800;120.15
80.900;111.55
81.000;119.52
81.100;112.17
81.200;120.05
81.300;122.52
81.400;120.41
81.500;120.34
81.600;119.77
81.700;119.51
81.800;120.61
81.900;113.10
82.000;113.74
82.100;117.96
82.200;116.03
82.300;118.93
82.400;119.25
82.500;120.02
82.600;114.53
82.700;115.25
82.800;114.85
82.900;118.78
83.000;116.95
83.100;109.55
83.200;116.91
83.300;118.48
83.400;118.70
83.500;118.87
83.600;115.15
83.700;114.26
83.800;119.04
83.900;111.67
84.000;112.75
84.100;114.75
84.200;118.42
84.300;119.43
84.400;120.53
84.500;120.92
84.600;119.91
84.700;119.18
84.800;122.11
84.900;110.30
85.000;111.92
85.100;118.30
85.200;107.70
85.300;84.74
85.400;72.91
85.500;67.09
85.600;91.49
85.700;110.83
85.800;118.76
85.900;122.25
86.000;105.20
86.100;117.16
86.200;121.82
86.300;122.44
86.400;121.52
86.500;120.36
86.600;121.38
86.700;121.22
86.800;111.89
