Time(s);RTF
55.80;1.00
55.90;1.02
56.00;0.97
56.10;1.02
56.20;1.01
56.30;0.97
56.40;1.04
56.50;1.01
56.60;0.97
56.70;0.98
56.80;0.90
56.90;1.12
57.00;0.99
57.10;1.02
57.20;1.01
57.30;0.98
57.40;1.02
57.50;0.99
57.60;0.89
57.70;1.07
57.80;1.00
57.90;1.06
58.00;1.00
58.10;0.93
58.20;1.07
58.30;0.99
58.40;0.97
58.50;1.05
58.60;0.96
58.70;1.01
58.80;1.00
58.90;0.96
59.00;1.05
59.10;1.00
59.20;0.99
59.30;0.98
59.40;1.04
59.50;0.91
59.60;1.13
59.70;0.98
59.80;1.02
59.90;1.02
60.00;1.01
60.10;1.00
60.20;0.98
60.30;0.98
60.40;1.06
60.50;0.98
60.60;1.01
60.70;0.85
60.80;1.21
60.90;0.99
61.00;1.00
61.10;1.00
61.20;1.00
61.30;0.97
61.40;1.05
61.50;0.96
61.60;1.03
61.70;0.93
61.80;1.05
61.90;1.03
62.00;0.98
62.10;1.02
62.20;0.99
62.30;0.96
62.40;1.03
62.50;1.00
62.60;0.99
62.70;0.98
62.80;1.00
62.90;1.05
63.00;0.99
63.10;0.97
63.20;1.02
63.30;0.96
63.40;1.06
63.50;0.90
63.60;1.10
63.70;0.97
63.80;1.01
63.90;1.03
64.00;0.97
64.10;1.01
64.20;0.98
64.30;0.99
64.40;1.02
64.50;1.02
64.60;1.05
64.70;0.98
64.80;1.00
64.90;1.01
65.00;1.00
65.10;0.99
65.20;1.00
65.30;0.97
65.40;1.04
65.50;0.95
65.60;1.04
65.70;1.00
65.80;0.97
65.90;1.04
66.00;1.01
66.10;0.99
66.20;1.00
66.30;0.97
66.40;1.03
66.50;0.95
66.60;1.05
66.70;1.02
66.80;0.96
66.90;1.04
67.00;1.00
67.10;1.01
67.20;0.97
67.30;0.96
67.40;1.06
67.50;0.99
67.60;1.06
67.70;0.98
67.80;0.99
67.90;1.03
68.00;0.99
68.10;1.00
68.20;1.00
68.30;0.96
68.40;1.06
68.50;1.00
68.60;0.96
68.70;1.03
68.80;0.98
68.90;1.05
69.00;1.00
69.10;1.00
69.20;1.00
69.30;0.98
69.40;1.03
69.50;0.99
69.60;1.01
69.70;0.99
69.80;0.96
69.90;1.06
70.00;1.00
70.10;0.99
70.20;1.00
70.30;0.71
70.40;1.85
70.50;0.95
70.60;0.99
70.70;0.96
70.80;1.03
70.90;1.02
71.00;0.98
71.10;1.00
71.20;0.97
71.30;1.02
71.40;1.02
71.50;1.03
71.60;0.99
71.70;1.03
71.80;0.93
71.90;1.09
72.00;0.99
72.10;1.01
72.20;0.98
72.30;1.02
72.40;0.99
72.50;1.01
72.60;0.99
72.70;1.01
72.80;0.99
72.90;0.99
73.00;1.03
73.10;1.00
73.20;1.00
73.30;0.97
73.40;1.01
73.50;0.99
73.60;1.02
73.70;0.99
73.80;0.98
73.90;1.02
74.00;1.00
74.10;0.99
74.20;1.02
74.30;0.94
74.40;1.06
74.50;0.95
74.60;1.02
74.70;0.99
74.80;1.00
74.90;1.01
75.00;0.97
75.10;1.03
75.20;0.99
75.30;1.00
75.40;0.98
75.50;1.01
75.60;0.98
75.70;1.04
75.80;1.01
75.90;1.02
76.00;0.95
76.10;1.06
76.20;0.98
76.30;0.99
76.40;1.02
76.50;1.01
76.60;0.99
76.70;0.95
76.80;1.02
76.90;1.01
77.00;1.00
77.10;1.01
77.20;0.97
77.30;1.01
77.40;1.00
77.50;1.01
77.60;1.01
77.70;0.99
77.80;0.88
77.90;1.17
78.00;0.97
78.10;1.00
78.20;1.01
78.30;1.00
78.40;0.96
78.50;1.04
78.60;1.00
78.70;0.97
78.80;1.00
78.90;1.03
79.00;0.99
79.10;1.00
79.20;1.02
79.30;0.96
79.40;1.01
79.50;0.98
79.60;1.02
79.70;0.99
79.80;1.01
79.90;1.02
80.00;1.02
80.10;1.04
80.20;0.96
80.30;0.98
80.40;1.02
80.50;0.99
80.60;1.01
80.70;0.97
80.80;1.01
80.90;1.00
81.00;1.02
81.10;1.01
81.20;0.98
81.30;1.02
81.40;1.00
81.50;0.94
81.60;1.05
81.70;0.90
81.80;1.07
81.90;1.01
82.00;1.05
82.10;1.00
82.20;0.99
82.30;0.99
82.40;1.01
82.50;1.03
82.60;0.98
82.70;1.03
82.80;0.93
82.90;1.05
83.00;1.00
83.10;1.00
83.20;0.98
83.30;0.98
83.40;1.02
83.50;1.02
83.60;0.99
83.70;1.02
83.80;0.96
83.90;1.02
84.00;1.01
84.10;0.99
84.20;0.99
84.30;1.00
84.40;1.03
84.50;1.01
84.60;0.98
84.70;1.00
84.80;0.98
84.90;1.01
85.00;1.01
85.10;1.00
85.20;1.01
85.30;0.95
85.40;1.04
85.50;0.98
85.60;1.02
85.70;1.01
85.80;0.96
85.90;1.00
86.00;1.03
86.10;1.01
86.20;0.96
86.30;1.03
86.40;1.02
86.50;0.99
86.60;1.00
86.70;1.01
86.80;0.98
86.90;1.03
87.00;0.99
87.10;1.00
87.20;1.01
87.30;0.97
87.40;1.02
87.50;1.00
87.60;0.98
87.70;1.01
87.80;0.97
87.90;1.03
88.00;0.96
88.10;0.91
88.20;1.15
88.30;0.97
88.40;1.00
88.50;0.99
88.60;1.07
88.70;1.00
88.80;0.93
88.90;1.09
89.00;0.99
89.10;1.00
89.20;1.01
89.30;0.98
